"id" "rt" "err" "stim" "type" "img" "word" "order"
"166" "6101" 6.55819780281227 0 "JOAK" "pseudohomophone" NA "more" 0.653693094723067
"167" "6101" 6.45204895443723 0 "VAYK" "nonword" NA "less" 0.667903814173569
"168" "6101" 6.32435896238131 0 "CLAIVE" "nonword" NA "less" 0.68211453362407
"169" "6101" 6.49526555593701 0 "JEEK" "nonword" NA "more" 0.696325253074572
"170" "6101" 6.10702288774225 0 "SLAHR" "nonword" NA "less" 0.710535972525073
"171" "6101" 6.21660610108486 0 "BAHRN" "pseudohomophone" NA "less" 0.724746691975575
"172" "6101" 6.5875500148248 0 "SHED" "word" NA NA 0.738957411426076
"173" "6101" 6.5206211275587 0 "NAFF" "nonword" NA "more" 0.753168130876578
"174" "6101" 6.58202513889283 0 "EASE" "word" "low" NA 0.767378850327079
"175" "6101" 6.58340922215876 0 "SIN" "word" "low" NA 0.78158956977758
"176" "6101" 6.45519856334012 0 "PIPE" "word" "high" NA 0.795800289228082
"177" "6101" 6.43615036836943 0 "SKI" "word" NA NA 0.810011008678583
"178" "6101" 6.15060276844628 0 "FAME" "word" NA NA 0.824221728129085
"179" "6101" 6.19031540585315 0 "PECK" "word" NA NA 0.838432447579586
"180" "6101" 6.1463292576689 0 "TIN" "word" NA NA 0.852643167030088
"181" "6101" 6.64248680136726 0 "GOAST" "pseudohomophone" NA "more" 0.881064605931091
"182" "6101" 6.56385552653213 0 "GRAIVE" "pseudohomophone" NA "less" 0.895275325381592
"183" "6101" 6.4723462945009 0 "CAP" "word" "high" NA 0.909486044832094
"184" "6101" 6.50128967054039 0 "PLEE" "pseudohomophone" NA "more" 0.923696764282595
"185" "6101" 6.51767127291227 0 "SHET" "nonword" NA "more" 0.937907483733097
"186" "6101" 6.46302945692067 0 "DAWLT" "nonword" NA "less" 0.952118203183598
"187" "6101" 6.45519856334012 0 "CAFE" "word" NA NA 0.9663289226341
"188" "6101" 6.54534966033442 0 "CLEEP" "nonword" NA "more" 0.980539642084601
"189" "6101" 7.11801620446533 0 "SPAN" "word" "low" NA 0.994750361535102
"190" "6101" 6.71174039505618 0 "RAIGE" "pseudohomophone" NA "less" 1.0089610809856
"191" "6101" 6.289715570909 0 "GOARN" "nonword" NA "less" 1.02317180043611
"192" "6101" 6.40357419793482 0 "SOAP" "word" "high" NA 1.03738251988661
"193" "6101" 6.61204103483309 0 "FAWX" "pseudohomophone" NA "less" 1.05159323933711
"194" "6101" 6.36990098282823 0 "BOYN" "nonword" NA "less" 1.06580395878761
"195" "6101" 6.73221070646721 0 "CHAOS" "word" NA NA 1.08001467823811
"196" "6101" 6.47850964220857 0 "BLADE" "word" "high" NA 1.09422539768861
"197" "6101" 7.08840877867539 0 "BARN" "word" "high" NA 1.10843611713911
"198" "6101" 6.52795791762255 0 "SOIZE" "nonword" NA "less" 1.12264683658962
"199" "6101" 6.60934924316738 0 "CROW" "word" "high" NA 1.13685755604012
"200" "6101" 6.72142570079064 0 "DRALE" "nonword" NA "more" 1.15106827549062
"201" "6101" 6.12905021006055 0 "OWE" "word" "low" NA 1.16527899494112
"202" "6101" 6.45990445437753 0 "NERCE" "pseudohomophone" NA "less" 1.17948971439162
"203" "6101" 6.361302477573 0 "ROOT" "word" "high" NA 1.19370043384212
"204" "6101" 6.25575004175337 0 "BOLT" "word" "high" NA 1.20791115329262
"205" "6101" 6.47697236288968 0 "BOAST" "word" "low" NA 1.22212187274313
"206" "6101" 6.20050917404269 0 "KLOR" "nonword" NA "more" 1.23633259219363
"207" "6101" 6.17378610390194 0 "TURGE" "nonword" NA "more" 1.25054331164413
"208" "6101" 6.54821910276237 0 "CHIN" "word" "high" NA 1.26475403109463
"209" "6101" 6.43133108193348 0 "FEAT" "word" "low" NA 1.27896475054513
"210" "6101" 6.45047042214418 0 "DRAIN" "word" NA NA 1.29317546999563
"211" "6101" 6.15060276844628 0 "MILD" "word" "low" NA 1.30738618944613
"212" "6101" 6.30078579466324 0 "LOOND" "nonword" NA "less" 1.32159690889664
"213" "6101" 6.2841341610708 0 "MURGE" "pseudohomophone" NA "more" 1.33580762834714
"214" "6101" 6.3297209055227 0 "BALCE" "nonword" NA "less" 1.35001834779764
"215" "6101" 6.17378610390194 0 "BYVE" "nonword" NA "less" 1.36422906724814
"216" "6101" 6.289715570909 0 "RAYK" "pseudohomophone" NA "less" 1.37843978669864
"217" "6101" 7.01031186730723 0 "PACT" "word" "low" NA 1.39265050614914
"218" "6101" 6.51767127291227 0 "SWAIT" "nonword" NA "more" 1.40686122559964
"219" "6101" 6.44888939414686 0 "SACK" "word" "high" NA 1.42107194505015
"220" "6101" 6.68085467879022 0 "WEECH" "nonword" NA "more" 1.43528266450065
"221" "6101" 6.25958146406492 0 "DRAIVE" "nonword" NA "less" 1.44949338395115
"222" "6101" 6.49223983502047 0 "CREEM" "pseudohomophone" NA "more" 1.46370410340165
"223" "6101" 6.34212141872115 0 "TAIGE" "nonword" NA "less" 1.47791482285215
"224" "6101" 6.97634807044775 0 "MID" "word" "low" NA 1.49212554230265
"225" "6101" 6.7900972355139 0 "GREEL" "nonword" NA "more" 1.50633626175316
"226" "6101" 6.44094654063292 0 "GOLPH" "pseudohomophone" NA "less" 1.52054698120366
"227" "6101" 7.50878717063428 0 "HALT" "word" NA NA 1.53475770065416
"228" "6101" 6.51619307604296 0 "SOOPE" "pseudohomophone" NA "less" 1.54896842010466
"229" "6101" 6.44730586254121 0 "APE" "word" "high" NA 1.56317913955516
"230" "6101" 6.37672694789863 0 "TEECH" "pseudohomophone" NA "more" 1.57738985900566
"231" "6101" 6.53813982376767 0 "SNACK" "word" "high" NA 1.59160057845616
"232" "6101" 6.49375383985169 0 "NEET" "pseudohomophone" NA "more" 1.60581129790667
"233" "6101" 6.49978704065585 0 "BROAL" "nonword" NA "more" 1.62002201735717
